Name,Formula,T/K,Cp¡ã,S¡ã, -[G¡ã-H¡ã(Tr)]/T,H-H¡ã(Tr),fH¡ã,fG¡ã,log Kf
Potassium Hydroxide (KOH),H1K1O1(g),298.15,48.531,236.379,236.379,0.,-232.630,-233.762,40.954
Lithium Hydride (LiH),H1Li1(cr),298.15,27.957,20.037,20.037,0.,-90.625,-68.447,11.992
Lithium Hydride (LiH),H1Li1(l),298.15,62.342,22.227,22.227,0.,-77.714,-56.189,9.844
Potassium Hydroxide (KOH),H1K1O1(cr),298.15,64.894,78.907,78.907,0.,-424.718,-378.899,66.382
Lithium Hydride (LiH),"H1Li1(cr,l)",298.15,27.957,20.037,20.037,0.,-90.625,-68.447,11.992
Lithium Hydroxide (LiOH),H1Li1O1(cr),298.15,49.591,42.821,42.821,0.,-484.926,-438.958,76.904
Mercury Hydride (HgH),H1Hg1(g),298.15,30.043,219.705,219.705,0.,238.488,215.132,-37.690
Lithium Hydride (LiH),H1Li1(g),298.15,29.731,170.909,170.909,0.,140.624,117.820,-20.642
"Potassium Hydroxide, Ion (KOH+)",H1K1O1+(g),298.15,49.479,250.331,250.331,0.,497.896,486.350,-85.207
Lithium Hydroxide (LiOH),H1Li1O1(l),298.15,87.086,47.969,47.969,0.,-474.422,-429.989,75.332
Lithium Hydroxide (LiOH),H1Li1O1(g),298.15,46.129,210.659,210.659,0.,-234.304,-238.377,41.763
Potassium Hydroxide (KOH),H1K1O1(l),298.15,83.107,96.617,96.617,0.,-412.705,-372.166,65.202
Magnesium Hydroxide (MgOH),H1Mg1O1(g),298.15,43.036,226.458,226.458,0.,-164.755,-172.469,30.216
Magnesium Hydride (MgH),H1Mg1(g),298.15,29.583,193.200,193.200,0.,169.034,140.653,-24.642
Lithium Hydroxide (LiOH),"H1Li1O1(cr,l)",298.15,49.591,42.821,42.821,0.,-484.926,-438.958,76.904
Nitrosyl Hydride (HNO),H1N1O1(g),298.15,34.640,220.722,220.722,0.,99.579,112.398,-19.692
"Nitrous Acid, Trans (HONO)",H1N1O2(g),298.15,46.051,249.261,249.261,0.,-78.827,-43.934,7.697
"Lithium Hydroxide, Ion (LiOH+)",H1Li1O1+(g),298.15,47.019,221.685,221.685,0.,778.224,764.609,-133.956
Nitric Acid (HONO2),H1N1O3(g),298.15,53.336,266.400,266.400,0.,-134.306,-73.941,12.954
Sodium Hydride (NaH),H1Na1(g),298.15,30.293,188.387,188.387,0.,124.265,102.919,-18.031
Sodium Hydroxide (NaOH),H1Na1O1(cr),298.15,59.530,64.445,64.445,0.,-425.931,-379.741,66.529
Sodium Hydroxide (NaOH),H1Na1O1(l),298.15,87.822,75.891,75.891,0.,-416.878,-374.100,65.541
Sodium Hydroxide (NaOH),"H1Na1O1(cr,l)",298.15,59.530,64.445,64.445,0.,-425.931,-379.741,66.529
Sodium Hydroxide (NaOH),H1Na1O1(g),298.15,48.371,228.443,228.443,0.,-197.757,-200.463,35.120
"Sodium Hydroxide, Ion (NaOH+)",H1Na1O1+(g),298.15,49.257,242.626,242.626,0.,677.808,664.619,-116.438
Hydroxyl (OH),H1O1(g),298.15,29.986,183.708,183.708,0.,38.987,34.277,-6.005
"Hydroxyl, Ion (OH+)",H1O1+(g),298.15,29.153,182.776,182.776,0.,1317.123,1306.437,-228.882
"Hydroxyl, Ion (OH-)",H1O1-(g),298.15,29.141,172.469,172.469,0.,-143.595,-138.698,24.299
Strontium Hydroxide (SrOH),H1O1Sr1(g),298.15,45.958,246.511,246.511,0.,-205.518,-212.347,37.202
"Strontium Hydroxide, Ion (SrOH+)",H1O1Sr1+(g),298.15,46.180,241.049,241.049,0.,320.800,309.345,-54.196
Hydroperoxo (HOO),H1O2(g),298.15,34.905,229.106,229.106,0.,2.092,14.430,-2.528
Phosphinidene (PH),H1P1(g),298.15,29.162,196.344,196.344,0.,253.550,226.739,-39.724
Lead Hydride (PbH),H1Pb1(g),298.15,29.476,220.756,220.756,0.,236.187,209.165,-36.645
"Silylidyne, Ion (SiH+)",H1Si1+(g),298.15,29.184,186.789,186.789,0.,1147.671,1110.818,-194.611
Zirconium Hydride (ZrH),H1Zr1(g),298.15,29.687,216.158,216.158,0.,516.306,482.928,-84.607
Hydrogen (H2),H2(ref),298.15,28.836,130.680,130.680,0.,0.,0.,0.
"Hydrogen, Ion (H2+)",H2+(g),298.15,29.288,142.370,142.370,0.,1494.671,1484.931,-260.154
"Hydrogen, Ion (H2-)",H2-(g),298.15,29.556,143.746,143.746,0.,235.373,237.732,-41.650
Diiodosilane (SiH2I2),H2I2Si1(g),298.15,67.980,326.797,326.797,0.,-38.074,-56.308,9.865
Potassium Hydroxide ((KOH)2),H2K2O2(g),298.15,81.444,327.996,327.996,0.,-654.796,-613.898,107.552
Mercapto (HS),H1S1(g),298.15,32.447,195.628,195.628,0.,139.327,105.260,-18.441
Lithium Hydroxide ((LiOH)2),H2Li2O2(g),298.15,71.223,269.794,269.794,0.,-711.280,-674.249,118.126
Magnesium Hydroxide (Mg(OH)2),H2Mg1O2(cr),298.15,77.249,63.242,63.242,0.,-924.664,-833.652,146.052
Magnesium Hydride (MgH2),H2Mg1(cr),298.15,35.334,31.091,31.091,0.,-76.149,-36.716,6.432
Magnesium Hydroxide (Mg(OH)2),H2Mg1O2(g),298.15,69.476,267.270,267.270,0.,-572.371,-542.190,94.989
Molybdic Acid (O2Mo(OH)2),H2Mo1O4(g),298.15,104.154,355.620,355.620,0.,-851.026,-787.234,137.920
Amidogen (NH2),H2N1(g),298.15,33.572,194.707,194.707,0.,190.372,199.846,-35.012
Sodium Hydroxide ((NaOH)2),H2Na2O2(g),298.15,79.284,307.396,307.396,0.,-607.517,-568.358,99.574
Water (H2O),H2O1(l),298.15,75.351,69.950,69.950,0.,-285.830,-237.141,41.546
Water (H2O),H2O1(g),298.15,33.590,188.834,188.834,0.,-241.826,-228.582,40.047
"Water, 1 Bar (H2O)","H2O1(l,g)",298.15,75.351,69.950,69.950,0.,-285.830,-237.141,41.546
"Water, 10 Bar (H2O)","H2O1(l,g)",298.15,75.313,69.946,69.946,0.,-285.815,-237.125,41.543
"Water, 100 Bar (H2O)","H2O1(l,g)",298.15,74.864,69.903,69.903,0.,-285.666,-236.963,41.515
"Water, 500 Bar (H2O)",H2O1(fl),298.15,73.198,69.696,69.696,0.,-285.014,-236.249,41.390
"Diazene, Cis (HNNH)",H2N2(g),298.15,36.554,218.603,218.603,0.,212.966,243.880,-42.727
Hydrogen Peroxide (HOOH),H2O2(g),298.15,43.116,232.991,232.991,0.,-136.106,-105.445,18.474
Strontium Hydroxide (Sr(OH)2),H2O2Sr1(l),298.15,74.894,108.739,108.739,0.,-957.304,-872.993,152.945
Strontium Hydroxide (Sr(OH)2),"H2O2Sr1(cr,l)",298.15,74.894,97.069,97.069,0.,-968.889,-881.098,154.365
Strontium Hydroxide (Sr(OH)2),H2O2Sr1(g),298.15,76.209,305.042,305.042,0.,-595.797,-570.013,99.864
