CAS,Comment,Formula,IE,Method,Name,Refer
 39787-00-3,Vertical value, C,7.83 ¡À 0.03,PE,"8H-Cyclohepta[b]naphthalen-8-one,7,9-dimethyl-","Allan, Heilbronner, et al., 1975"
 7576-36-5,Vertical value, C,7.82,PE,"2-Cyclopropene-1-carboxylic acid, 2,3-diphenyl-, methyl ester","Baidin, Domnin, et al., 1984"
 613-62-7,, C,7.82,CTS,"Naphthalene, 2-(phenylmethoxy)-","Weschke, Timpe, et al., 1979"
 607-58-9,, C,7.63,CTS,"Naphthalene, 1-(phenylmethoxy)-","Weschke, Timpe, et al., 1979"
 41273-54-5,, C,7.94 ¡À 0.01,EI,"Silane,(2,3-dihydro-1H-inden-1-yl)dimethylphenyl-","Rakita, Hoffman, et al., 1973"
 38801-41-1,Vertical value, C,7.15 ¡À 0.03,PE,"10b,10c-Methanoazuleno[2,1,8-ija]azulene","Batich, Heilbronner, et al., 1974"
 165-42-4,Vertical value, C,7.8,PE,"1,1'-Spirobi[1H-indene]","Schweig, Weidner, et al., 1973"
 32137-40-9,LBLHLM, C,7.53,PE,"Naphtho[1,8',8:c,d]cyclodeca-1,5-diiyne","Gleiter, Schafer, et al., 1984"
 104642-21-9, , C,7.3,PE,3H-Cyclonona[def]biphenylene,"Wilcox, Blain, et al., 1986"
 25835-57-8,Vertical value, C,7.37 ¡À 0.03,PE,"12H-1,11-Methenobenzo[1,2:4,5]dicycloheptene,11a,12a-dihydro-","Batich, Heilbronner, et al., 1974"
 27490-90-0,, C,7.69 ¡À 0.04,EI,"Silane,1H-inden-1-yldimethylphenyl-","Rakita, Hoffman, et al., 1973"
 24262-07-5,LLK, C,7.6,PE,2-Methyl[2.2]paracyclophane,"Zhong-zhi, Kovak, et al., 1981"
 20637-07-4,, C,8.3 ¡À 0.2,EI,4-(4-Biphenylyl)butanoic acid methyl ester,"Howe, Williams, et al., 1969"
 24254-59-9,, C,7.9 ¡À 0.2,EI,4-(4-Phenoxyphenyl)butanoic acid methyl ester,"Howe, Williams, et al., 1969"
 114145-42-5,Vertical value, C,7.34,PE,"Coumarin, 7-(diethylamino)-4-morpholino-","Redchenko, Safronov, et al., 1992"
 24254-67-9,, C,8.0 ¡À 0.2,EI,"Methyl 3-(1,1'-biphenyl-4-yl)butanoate","Howe, Williams, et al., 1969"
 841-71-4,Vertical value, C,7.5,PE,"Azulene,1,3-diacetyl-4,6,8-trimethyl-","Dougherty, Lewis, et al., 1980"
 75102-19-1,Vertical value, C,7.5,PE,"1,4-Methanoanthracene,1,2,3,4-tetrahydro-9,10-dimethoxy-","Paquette, Bellamy, et al., 1980"
