CAS,Comment,Formula,IE,Method,Name,Refer
 4430-29-9,, C,6.76,CTS,Isoviolanthrene,"Kuroda, 1964"
 385-16-0,LLK, C,6.73 ¡À 0.02,PE,"Benzo[a]phenanthro[9,10-c]naphthacene","Schmidt, 1977"
 20495-12-9,LLK, C,7.15,PE,"Naphtho[2,1-c]phenanthro[4,3-g]phenanthrene","Obenland and Schmidt, 1975"
 215-95-2, , C,7.00 ¡À 0.02,PE,"Tetrabenzo[a,c,j,l]naphthacene","Schmidt, 1977"
 385-15-9,LLK, C,6.83 ¡À 0.02,PE,"Tetrabenzo[b,g,k,p]chrysene","Schmidt, 1977"
 214-87-9,, C,6.90 ¡À 0.02,PE,Benz[j]heptaphene,"Schmidt, 1977"
 187-94-0,Vertical value, C,6.82 ¡À 0.02,PE,"Dibenzo[fg,ij]phenanthro[2,1,10,9,8,7-pqrstuv]pentaphene","Clar and Schmidt, 1978"
 188-11-4,, C,6.74 ¡À 0.02,PE,"Benzo[pqr]dinaphtho[8,1,2-bcd:2,1,8-lmn]perylene","Clar and Schmidt, 1978"
 42506-57-0,Vertical value, C,5.8,PE,"4H-Pyran, 4-(2,6-diphenyl-4H-pyran-4-ylidene)-2,6-diphenyl-","Traven, Martirosyan, et al., 1987"
 5131-00-0,Vertical value, C,6.3,PE,"1,3,5,7-Tetramethyl-2,6-diethyl-4,8-di-n-propyl porphin","Dupuis, Roberge, et al., 1980"
 42506-60-5,Vertical value, C,5.84,PE,"4H-Thiopyran, 4-(2,6-diphenyl-4H-thiopyran-4-ylidene)-2,6-diphenyl-","Traven, Martirosyan, et al., 1987"
 57026-52-5,Vertical value, C,6.1,PE,"Biselenopyranylidene, 2,2',6,6'-tetraphenyl-","Traven, Martirosyan, et al., 1987"
 191-53-7,LLK, C,6.58,PE,"Tetrabenzo[a,cd,j,lm]perylene","Sato, Seki, et al., 1981"
 191-79-7,RDSH, C,6.06,CTS,"Tetrabenzo[de,hi,op,st]pentacene","Matsen, 1956"
 191-46-8,Vertical value, C,6.59 ¡À 0.02,PE,"Dibenzo[a,rst]naphtho[8,1,2-cde]pentaphene","Clar and Schmidt, 1978"
 188-87-4,Vertical value, C,6.48 ¡À 0.02,PE,"Tetrabenzo[c,m,pqr,tuv]picene","Clar and Schmidt, 1978"
 188-84-1,Vertical value, C,6.42 ¡À 0.02,PE,"Dinaphtho[1,2,3-cd:1',2',3'-lm]perylene","Clar and Schmidt, 1978"
 313-63-3,Vertical value, C,6.84,PE,"Dibenzo[fg,ij]naphtho[1,2,3,4-rst]pentaphene","Clar and Schmidt, 1977"
 190-93-2,Vertical value, C,6.59 ¡À 0.02,PE,"Dibenzo[m,pqr]naptho[1,2,3,4-tuv]picene","Clar and Schmidt, 1978"
 188-13-6,RDSH, C,6.46,CTS,"Tetrabenzo[de,h,kl,rst]pentaphene","Briegleb, 1964"
 435-02-9,LLK, C,6.58,PE,"Dibenzo[de, yz] naphtho[8, 1, 2- hij] hexaphene","Clar and Schmidt, 1979"
 187-96-2, , C,6.06 ¡À 0.02,PE,"Tribenzo[de,h,kl]naphtho[1,2,3,4-rst]tetraphene","Clar and Schmidt, 1978"
 34814-77-2,Vertical value; , C,6.40 ¡À 0.02,PE,"Tribenzo[fg,mn,xyz]heptaphene","Clar and Schmidt, 1978"
 14529-73-8,LLK, C,6.72,PE,"Benzo[wx]naphtho[2,1,8,7-hijk]heptacene","Clar and Schmidt, 1977"
 76748-63-5,, C,6.69,PE,"Benzo[ghi]naphth[2',1',8',7':5,6,7]aceanthrylene[10,1,2-abcd]perylene","Clar, Robertson, et al., 1981"
 41163-25-1,Vertical value; , C,6.81 ¡À 0.02,PE,"Naph[2,1,8,7:4,10,5]anthra[1,9,8-abcd]coronene","Clar and Schmidt, 1978"
 190-90-9,, C,6.38 ¡À 0.02,PE,"Benzo[rs]dinaphtho[2,1,8,7-klmn:3',2',1',8',7'-vwxyz]hexaphene","Clar and Schmidt, 1978"
 190-89-6, , C,6.5,PE,"Dibenzo[jk,uv]dinaphtho[2,1,8,7-defg:2',1',8',7'-opqr]pentacene","Clar, Robertson, et al., 1981"
 20495-14-1,LLK, C,7.07,PE,[9]Helicene,"Obenland and Schmidt, 1975"
 216-07-9,, C,6.65 ¡À 0.02,PE,"Tetrabenzo[a,c,l,o]pentacene","Schmidt, 1977"
 4997-62-0,, C,7.72 ¡À 0.05,EI,"Benzene, 1,1',1'',1''',1'''',1'''''-[bi-2-cyclopropen-1-yl]-1,1',2,2',3,3'-hexaylhexakis-","Gyorosi, Hvistendahl, et al., 1975"
 992-04-1,, C,8.47 ¡À 0.05,EI,Hexaphenylbenzene,"Gyorosi, Hvistendahl, et al., 1975"
 214-77-7,, C,6.85 ¡À 0.02,PE,"Anthra[2,3-j]heptaphene","Schmidt, 1977"
 57520-29-3,Vertical value; , C,6.99,PE,"Benzo[g]phenanthro[3,4-c:6,5-c']diphenanthrene[10]helicene","Obenland and Schmidt, 1975"
 190-23-8,, C,7.52 ¡À 0.02,PE,"Dibenzo[f,j]phenanthro[9,10-s]picene","Schmidt, 1977"
 34814-82-9,LLK, C,6.18 ¡À 0.02,PE,"Dibenzo[fg,mn]naphtho[1,2,3,4-xyz]heptaphene","Clar and Schmidt, 1978"
 190-22-7,, C,6.71 ¡À 0.02,PE,"Hexabenzo[a,cd,f,j,lm,o]perylene","Clar and Schmidt, 1978"
 190-09-0,, C,6.22,PE,"Dinaphtho-[2,1,8-c,d,a:2',1',8'-nop]heptacene","Clar and Schmidt, 1979"
 517-51-1,LLK, C,6.41,PE,"5,6,11,12-Tetraphenylnaphthacene","Sato, Seki, et al., 1981"
 190-24-9,RDSH, C,7.1 ¡À 0.1,EI,Hexabenzo[bc:ef:hi:kl:no:qr]coronene,"Gallegos, 1968"
 34814-80-7,LLK, C,6.72 ¡À 0.02,PE,"Dibenzo[fg,mn]phenanthro[2,1,10,9,8,7-vwxyza,b]heptaphene","Clar and Schmidt, 1978"
 57468-46-9,Vertical value; , C,6.93,PE,"Dinaphtho[1,2-g:1',2'-g']naphtho[2,1-c:7,8-c']diphenanthrene","Obenland and Schmidt, 1975"
 72382-92-4,LLK, C,6.7,PE,"Tetranaphtho[3,2,1-de:1',2',3'-jk:3&quot;,2&quot;,1&quot;-op:1''',2''',3'''-uv)pentacene","Clar and Schmidt, 1979"
 57483-71-3,Vertical value; , C,6.88,PE,[14]Helicene,"Obenland and Schmidt, 1975"
 136846-56-5,LL, C,7.27 ¡À 0.14,IMB,c66-Fullerene,"Zimmerman and Eyler, 1991"
 576-59-0,, C,7.9,PE,p-Iodoanil,"Sato, Seki, et al., 1981"
 14040-11-0,LBLHLM, C,8,PE,Tungsten hexacarbonyl,"Cooper, Green, et al., 1987"
 16054-20-9,Vertical value, C,7.9,PE,"2,5-Dimethyl-2,5-bis(trimethylsilyl)hex-3-ene","Bock and Kaim, 1980"
 51685-13-3,Vertical value, C,6.11,PE,"Phosphorane,(1,1,2,2,4,4-hexamethyl-1,2,4-trisilacyclopentane-3,5-diylidene)bis[trimethyl-","Starzewski, Dieck, et al., 1974"
 55147-80-3,Vertical value, C,7.26 ¡À 0.05,PE,"Tin, bis[(trimethylsilyl)(1,1-dimethylethyl)]amino-","Harris, Lappert, et al., 1976"
 41203-22-9,Vertical value; , C,8,PE,"1,4,8,11-Tetraazacyclotetradecane, 1,4,8,11-tetramethyl-","Baker, Armen, et al., 1983"
 22289-34-5,Vertical value, C,7.23,PE,"Platinum, bis(trimethylphosphine)dimethyl-","Yang, Bancroft, et al., 1990"
 24214-70-8,Vertical value, C,8.14,PE,"Cycloheptanone, cycloheptylidenehydrazone","Kirste, Poppek, et al., 1984"
 78279-93-3,Vertical value, C,6.5,PE,"Quinoxaline, 1,4-dihydro-1,4-bis(trimethylsilyl)-","Kaim, 1981"
 79607-90-2,LBLHLM, C,6.5,PE,"1H-1,3,2-Benzodiazaphosphole, 2-diisopropylamino-1,3-dimethyl-2,3-dihydro-","Worley, Hargis, et al., 1982"
 66874-45-1,Vertical value, C,7.7,PE,"3-Diphosphaborinamine, 1,2-bis(1,1-dimethylethyl)-N,N-bis(1-methylethyl)-","Gleiter, Bohm, et al., 1981"
 1687-36-1,, C,9.23,PI,"1,3,5,7-Tetramethyl-adamantane","Bodor, Dewar, et al., 1970"
 88718-33-6,Vertical value, C,8.1,PE,"1,5,8,12-Benzotetraazacyclotetradecine, 1,2,3,4,5,6,7,8,9,10,11,12-dodecahydro-","Baker, Armen, et al., 1983"
 27490-23-9,, C,8.07,CTS,"Disilane,1-indanylpentamethyl-","Pitt, 1970"
 18415-23-1,, C,8.12 ¡À 0.04,EI,"Silane,(phenylethenylidene)bis[trimethyl-","Benito, Seidl, et al., 1973"
 84879-73-2, , C,5.5,PE,"Cobalt, carbonyl-(¦Ç","Dudeney, Green, et al., 1983"
 1755-19-7,LBLHLM, C,8.8,PE,"Anthracene, tetradecahydro-, (4a¦Á,8a¦Á,9a¦Â,10a¦Á)-","Heilbronner, Honegger, et al., 1984"
 19128-78-0,LBLHLM, C,9,PE,"Anthracene, tetradecahydro-, (4a¦Á,8a¦Á,9a¦Á,10a¦Á)-","Heilbronner, Honegger, et al., 1984"
 23217-98-3,, C,8.8,PE,2-Methylperhydrophenalene,"Heilbronner, Honegger, et al., 1984"
 54580-22-2,Vertical value, C,8.14,PE,"1,4-Hexadiene, 2,5-dimethyl-4-(1-methylethyl)-3-(1-methylethylidene)-","Mollere, Houk, et al., 1976"
 1133-23-9,Vertical value, C,7.49,PE,"Cyclobutane,1,1,2,2-tetramethyl-3,4-bis(1-methylethylidene)-","Mollere, Houk, et al., 1976"
 55147-81-4,Vertical value, C,7.24 ¡À 0.05,PE,"Germanium, bis[(trimethylsilyl)(1,1-dimethylethyl)]amino-","Harris, Lappert, et al., 1976"
 1517-22-2,, C,8.05,EI,Phenanthrene-D10,"Nounou, 1968"
 14024-00-1,RDSH, C,7.53 ¡À 0.15,EI,hexacarbonylvanadium,"Bidinosti and McIntyre, 1967"
 127620-13-7,Vertical value, C,7.55,PE,"Platinum, bis(diethoxy-methylphosphine-p-)dimethyl-","Yang, Bancroft, et al., 1990"
 50358-91-3,, C,8.18 ¡À 0.02,EI,"Molybdenum, (carbonothioyl)pentacarbonyl-","Michels, Flesch, et al., 1980"
 13939-06-5,LBLHLM, C,8.25,PE,Molybdenum hexacarbonyl,"Cooper, Green, et al., 1987"
 13452-94-3,, C,7.39 ¡À 0.01,EI,Tetradecamethylcycloheptasilane,"Pitt, Bursey, et al., 1970"
 812-53-3,, C,7.02 ¡À 0.02,EI,"Hexasilane,tetradecamethyl-","Pitt, Bursey, et al., 1970"
 88718-32-5,Vertical value, C,8.1,PE,"2H,9H-1,5,8,16-Benzotetraoxacyclotetradecin, 3,4,6,7,10,11-hexahydro-","Baker, Armen, et al., 1983"
 51716-04-2,Vertical value, C,8.75,PE,"Benzonorbornene, 1,2,3,4-tetrafluoro-9-isopropylidene-","Paquette, Hertel, et al., 1981"
 1207-93-8,, C,8.77,EI,"Dibenzo[b,e]thiepin,6,11-dihydro-","Sahini, Constantin, et al., 1978"
 3383-21-9,Vertical value; , C,8.81,PE,"3,5-Cyclohexadiene-1,2-dione, 3,5-bis(1,1-dimethylethyl)-","Schang, Gleiter, et al., 1978"
 950-21-0,LBLHLM, C,9.0 ¡À 0.05,EI,"Dispiro[5.1.5.1]tetradecane-7,14-dione","Olivares, Flesch, et al., 1984"
 35785-35-4,, C,9.96,EI,"¦Á-D-Galactopyranosiduronic acid,methyl methyl ester,triacetate","Kovacik, Mihalov, et al., 1977"
 14098-44-3,Vertical value; , C,8,PE,"1,4,7,10,13-Benzopentaoxacyclopentadecin, 2,3,5,6,8,9,11,12-octahydro-","Baker, Armen, et al., 1983"
 34105-76-5,Vertical value, C,8.71,PE,"3,5-Cyclohexadiene-1,2-dione,3,6-bis(1,1-dimethylethyl)-","Schang, Gleiter, et al., 1978"
 68799-70-2, , C,7.2,PE,"1,3,7,7-Tetramethyl-10-methylidene-2,11-dioxabicyclo[4.4.1]undeca-3,5-diene","Jorgensen, Gajhede, et al., 1985"
 63340-04-5,Vertical value, C,8.05,PE,"Benzene,1-[1-(1,1-dimethylethyl)cyclopropyl]-4-methoxy-","Prins, Verhoeven, et al., 1977"
 134-84-9,RDSH, C,9.13 ¡À 0.05,EI,"Methanone, (4-methylphenyl)phenyl-","Foffani, Pignataro, et al., 1964"
 1439-07-2,, C,8.6,PE,"trans-1,2-Diphenylethylene oxide","Arnold and Wong, 1979"
 451-40-1,LLK, C,8.5,PE,"Ethanone, 1,2-diphenyl-","Centineo, Fragala, et al., 1978"
 1523-19-9,LL, C,8.98,PI,"Phenol,4-methoxy-,benzoate","Orlov, Ponomarev, et al., 1991"
 23772-26-1,, C,9.85,EI,"Dibenzo[b,e]thiepin,6,11-dihydro-5,5-dioxide-","Sahini, Constantin, et al., 1978"
 614-34-6,, C,8.27,PI,"Benzoic acid, 4-methylphenyl ester","Orlov, Ponomarev, et al., 1991"
 572-41-8,Vertical value, C,8.13,PE,"trans-Phenanthrene, 9,10-dihydro-9,10-diol","Akiyama, Li, et al., 1979"
 1700-37-4,, C,8.6,EI,"Benzaldehyde, 3-(phenylmethoxy)-","Ward, Cooks, et al., 1969"
 4397-53-9,, C,8.7,EI,"Benzaldehyde, 4-(phenylmethoxy)-","Ward, Cooks, et al., 1969"
 614-32-4,, C,8.47,PI,m-tolyl benzoate,"Orlov, Ponomarev, et al., 1991"
 10487-55-5,Vertical value, C,7.95,PE,"Azulene,1,3-diacetyl-","Dougherty, Lewis, et al., 1980"
 68217-17-4,Vertical value, C,8.85,PE,"3,6-Ethanodicyclopenta[cd,gh]pentalene-7,8-dione,2a,3,3a,5a,6,6a,6b,6c-octahydro-","Bartetzko, Gleiter, et al., 1978"
 1689-71-0,, C,8.68,PE,"Bibenzyl, ¦Á,¦Á'-epoxy-, cis-","Arnold and Wong, 1979"
 35505-47-6,Vertical value, C,7.19,PE,"3H-[1,2]Dithiolo[4,5,1-hi][1,2]benzodithiole-8-s(iv),4,5-dihydro-2,6-bis(1-methylethyl)-","Gleiter, Hornung, et al., 1971"
 12131-22-5,Vertical value, C,5.32 ¡À 0.05,PE,"Molybdenum,bis[(1,2,3,4,5,6-¦Ç)-methylbenzene]-","Evans, Green, et al., 1974"
 140477-25-4,Vertical value, C,9.75,PE,"Azoxybenzene,2,2'3,3',5,5',6,6'-octafluoro-4,4'-bis(trifluoromethyl)-","Petrachenko, Vovna, et al., 1993"
 88776-26-5, , C,5.7,PE,"Molybdenum, (¦Ç","Bandy, Mtetwa, et al., 1985"
 64504-72-9,Vertical value, C,8,PE,"4H,6H-Dithieno[3,4-c:3',4'-e]oxepin,4,4,6,6-tetramethyl-","Meunier and Pfister-Guillouzo, 1977"
 64504-71-8,Vertical value, C,7.8,PE,"Dithieno[2,3-c:3',2'-e]oxepin,4,6-dihydro-4,4,6,6-tetramethyl-","Meunier and Pfister-Guillouzo, 1977"
 42506-58-1, , C,5.78,PE,"Bi-pyranylidene, 2,2',6,6'-tetramethyl-","Traven, Martirosyan, et al., 1987"
 68217-19-6,Vertical value, C,8.82,PE,"3,6-Ethanodicyclopenta[cd,gh]pentalene-7,8-dione,dodecahydro-","Bartetzko, Gleiter, et al., 1978"
 35464-32-5, , C,6.15,PE,"Titanium,(¦Ç","Davies, Gardiner, et al., 1985"
 55527-82-7,Vertical value, C,5.4,PE,Bistoluenetitanium,"Anthony, Green, et al., 1975"
 36047-17-3,Vertical value; , C,8.9,PE,"5,5-Dimethyl-3-phenyl-2-cyclohexen-1-one","Pfister-Guillouzo, Geribaldi, et al., 1982"
 4497-72-7,LLK, C,8.7,PE,"2-Chloro-3-[N-ethylacetamido]-1,4-naphthoquinone","Redchenko, Freimanis, et al., 1980"
 18969-93-2,, C,6.53,CTS,"1H-Cyclopenta[gh]perimidine,6,7-dihydro-1-methyl-","Pozharskii, Kashparov, et al., 1971"
 14632-40-7,Vertical value, C,8.66,PE,"Benzenamine,2-methyl-4-nitro-N-(phenylmethylene)-","Akaba, Tokumaru, et al., 1980"
 736-30-1,LLK, C,9.77 ¡À 0.05,EI,"4,4'-Dinitrobibenzyl","Pignataro, Mancini, et al., 1972"
 127620-11-5,Vertical value, C,6.82,PE,"Platinum, bis(tris(dimethylamino)phosphine-p-)dimethyl-","Yang, Bancroft, et al., 1990"
 62453-03-6,Vertical value, C,8.58,PE,"Benzenamine,N-[(3-methylphenyl)methylene]-4-nitro-","Akaba, Tokumaru, et al., 1980"
 776-35-2,LLK, C,7.55 ¡À 0.02,PE,"Phenanthrene, 9,10-dihydro-","Maier and Turner, 1972"
 103-30-0,LL, C,7.6558 ¡À 0.0005,TE,(E)-Stilbene,"Takahashi and Kimura, 1995"
 588-59-0,LLK, C,7.94,PE,Stilbene,"Hudson, Ridyard, et al., 1976"
 530-48-3,LLK, C,8.00 ¡À 0.02,PE,"Ethylene, 1,1-diphenyl-","Maier and Turner, 1973"
 645-49-8, , C,7.80 ¡À 0.02,PE,cis-Stilbene,"Maier and Turner, 1973"
 32624-91-2,LBLHLM, C,7.6,PE,"Cyclobuta[a]acenaphthylene, 6b,7,8,8a-tetrahydro-","Gleiter and Gubernator, 1982"
 30736-77-7,LBLHLM, C,7.7,PE,"1H-Phenalene, 2,3-dihydro, 1,3-methano-","Gleiter and Gubernator, 1982"
 17935-66-9, , C,7.6,PE,"1,8-Diethenylnaphthalene","Gleiter, Schafer, et al., 1981"
 531-45-3,, C,7.0 ¡À 0.1,EI,"1,3,5-Cycloheptatriene-7-(2,4,6-cycloheptatrien-1-ylidene)-","Klots, Compton, et al., 1974"
 2292-79-7,RDSH, C,8.93,PE,Diadamantane,"Dewar and Worley, 1969"
 35816-66-1,Vertical value, C,8.57,PE,"Iron, dicarbonylbis(1-piperidinecarbodithioato-s,s')-(oc-6-21)-","Cauletti, Duffy, et al., 1977"
 32573-77-6,, C,7.67 ¡À 0.02,EI,Bis(¦Ç-diethylphosphino)diiron hexacarbonyl),"Junk, Preston, et al., 1970"
 14996-70-4,, C,7.30 ¡À 0.05,PE,"Hydrazine,1,2-dimethyl-1,2-diphenyl-","Rademacher, Bass, et al., 1977"
 621-95-4,LLK, C,7.45 ¡À 0.05,EI,"Benzenamine, 4,4'-(1,2-ethanediyl)bis-","Pignataro, Mancini, et al., 1972"
 56751-92-9,Vertical value, C,7.72,PE,"10b,10c-Diazadicyclopenta[ef,kl]heptalene,3,4,5,8,9,10-hexahydro-","Flitsch, Peeters, et al., 1978"
 81064-43-9,Vertical value, C,7.7,PE,"Iron, ¦Ç","Paquette, Daniels, et al., 1984"
 4685-74-9,Vertical value; , C,8.17,PE,"Bicyclo[8.2.2]tetradeca-10,12,13-triene","Gleiter, Hopf, et al., 1980"
 84905-04-4, , C,6.7,PE,"1,8-Diazabicyclo[6.5.3]hexadecane","Honegger, Yang, et al., 1985"
 88885-92-1, , C,6.8,PE,"1,7-Diazabicyclo[5.5.4]hexadecane","Honegger, Yang, et al., 1985"
 12087-58-0,Vertical value; , C,5.31,PE,Bis(¦Ç,"Cabelli, Cowley, et al., 1982"
 101680-12-0, , C,5.8,PE,"Tungsten, (¦Ç","Bandy, Mtetwa, et al., 1985"
 7090-88-2,Vertical value, C,8.13,PE,"3-Hexene, 2,5-dimethyl-3,4-bis(1-methylethyl)-","Mollere, Houk, et al., 1976"
 28923-90-2,LLK, C,8.169 ¡À 0.012,PE,"3-Hexene, 2,2,5,5-tetramethyl-3,4-bis(1,1-dimethylethyl)-","Masclet, Grosjean, et al., 1973"
 57984-32-4,Vertical value, C,8.11 ¡À 0.02,PE,"4,5-Dipropyl-4-octene","Brown, Buschek, et al., 1983"
 3739-97-7,Vertical value, C,6.71,PE,"Phosphorane,triphenyl[(trimethylsilyl)methylene]-","Starzewski and Bock, 1976"
 79308-66-0,Vertical value, C,6.35,PE,"Biselenopyranylidene, 2,2',6,6'-tetramethyl-","Traven, Martirosyan, et al., 1987"
 42506-61-6,Vertical value, C,6.23,PE,"Bithiopyranylidene, 2,2',6,6'-tetramethyl-","Traven, Martirosyan, et al., 1987"
 12131-21-4,, C,7.0 ¡À 0.1,EI,Cyclopentadienyl(isocyanocyclohexane)manganese dicarbonyl,"Muller and Herberhold, 1968"
 778-24-5,LLK, C,8.5,PE,Dimethyl diphenylsilane,"Traven', Redchenko, et al., 1981"
 98150-60-8, , C,6.3,PE,"Ferrocene, 1,1'-[1,4-butanediylbis(thio)]-","Vondrak and Sato, 1989"
 1134-40-3,Vertical value; , C,7.60 ¡À 0.03,PE,"Naphthalene, 2,3,6,7-tetramethyl-","Heilbronner, Hoshi, et al., 1976"
 1634-09-9,, C,7.76,PE,"Naphthalene, 1-butyl-","Berkowitz, Dehmer, et al., 1973"
 5910-28-1,Vertical value, C,8.16,PE,"1,4,5,8,9,10-Hexahydroanthracene","Heilbronner, Brogli, et al., 1976"
 33530-27-7,, C,7.63,PE,"Benzene,[2-methyl-3-(2-methyl-1-propenylidene)cyclopropyl]-trans-","Pasto, Fehlner, et al., 1976"
 33530-26-6,, C,7.65,PE,"Benzene,[2-methyl-3-(2-methyl-1-propenylidene)cyclopropyl]-cis-","Pasto, Fehlner, et al., 1976"
 7350-77-8, , C,7.9,PE,"Benzonorbornene, 9-isopropylidene-","Paquette, Hertel, et al., 1981"
 54922-12-2,LLK, C,7.95 ¡À 0.05,PE,"1,2-Cyclobuta-3,4:5,6 bicyclopentabenzene","Heilbronner, Kovac, et al., 1981"
 20722-48-9,, C,8.03,EI,"Phenanthrene-9,l0-d2","Nounou, 1968"
 18067-44-2,LBLHLM, C,7.88,PE,"1,8-Diethynylnaphthalene","Gleiter, Schafer, et al., 1984"
 67665-34-3,LLK, C,7.91,PE,"1,5-Diethynylnaphthalene","Gleiter, Schafer, et al., 1981"
 24648-13-3, , C,6.68,PE,"1,3-Benzodithiole,2-(1,3-benzodithiol-2-ylidene)-","Sato, Seki, et al., 1981"
 248-70-4,, C,7.53,PE,"[1]Benzothieno[3,2-b][1]benzothiophene","Zheltov, Rodin, et al., 1990"
 81-60-7,, C,7.83 ¡À 0.02,PI,"1,4,5,8-tetrahydroxyanthraquinone","Potapov and Sorokin, 1971"
 523-27-3,, C,7.58,PE,"Anthracene, 9,10-dibromo-","Streets and Williams, 1974"
 57821-01-9,Vertical value, C,6.59,PE,"Chromium, bis[(1-fluoro-4-trifluoromethyl)phenyl]-","Cabelli, Cowley, et al., 1982"
 22852-49-9,, C,7.85,EI,1-(4-Trifluoromethylanilino)ethylidenechromium pentacarbonyl,"Muller and Connor, 1969"
 1591-30-6,, C,10.4,EI,"[1,1'-Biphenyl]-4,4'-dicarbonitrile","Martinez_deBertorello, Bertorello, et al., 1970"
 605-48-1,, C,7.58,PE,"Anthracene, 9,10-dichloro-","Streets and Williams, 1974"
 59805-03-7,, C,7.7,CTS,"Pyridinium,5-chloro-1,3-dihydro-1,3-dioxo-2H-inden-2-ylide","Kampars and Neilands, 1975"
 605-32-3,, C,8.70 ¡À 0.03,PI,"9,10-Anthracenedione, 2-hydroxy-","Potapov and Sorokin, 1971"
 129-43-1,, C,8.43 ¡À 0.05,PI,"9,10-Anthracenedione, 1-hydroxy-","Potapov and Sorokin, 1971"
 81-64-1,, C,7.94 ¡À 0.03,PI,"9,10-Anthracenedione, 1,4-dihydroxy-","Potapov and Sorokin, 1971"
 117-12-4,, C,8.53 ¡À 0.03,PI,"9,10-Anthracenedione, 1,5-dihydroxy-","Potapov and Sorokin, 1971"
 84-60-6,, C,8.65 ¡À 0.05,PI,Anthraflavic acid,"Potapov and Sorokin, 1971"
 84-65-1,LBLHLM, C,9,PE,"9,10-Anthracenedione","Gleiter, Dobler, et al., 1987"
 84-11-7,, C,8.64 ¡À 0.03,PI,"9,10-Phenanthrenedione","Potapov and Sorokin, 1971"
 635-12-1,, C,8.45 ¡À 0.02,PI,"1,4-Anthracenedione","Potapov and Sorokin, 1971"
 50358-92-4, , C,8.22 ¡À 0.01,EI,"Tungsten, (carbonothioyl)pentacarbonyl-","Michels, Flesch, et al., 1980"
 13688-68-1,LLK, C,7.4,PE,"9,9-Dimethyl-9-silafluorene","Schweig, Weidner, et al., 1973"
 1083-82-5, , C,8,PE,"1,3,2-Dithiaplumbacyclopentane, 2,2-diphenyl-","Andoni, Cauletti, et al., 1983"
 257-13-6,Vertical value, C,7.96,PE,"Dibenzo[b,f]thiepin","Gusten, Klasinc, et al., 1976"
 18412-15-2,Vertical value, C,8.05,PE,"Silane,[1,3-phenylenebis(methylene)]bis[trimethyl-","Bock and Kaim, 1978"
 18412-14-1,RDSH, C,7.74,EI,"Silane,[1,2-phenylenebis(methylene)bis[trimethyl-","Bock and Alt, 1970"
 17557-09-4,RDSH, C,7.25,EI,"Silane,[1,4-phenylenebis(methylene)]bis[trimethyl","Bock and Alt, 1970"
 18636-32-3,Vertical value, C,8.22,PE,"Benzo[g]pteridine-2,4(3H,10H)-dione, 3,7,8,10-tetramethyl-","Eweg, Muller, et al., 1980"
 92630-43-8,, C,7.42 ¡À 0.06,EI,"Propane-1,3-dione, 1-(4-methylphenyl)-2-(phenylimino)-3-phenyl-","Moskal, Moskal, et al., 1984"
 52445-59-7, , C,7.2,PE,Bis-¦Ç,"Casarin, Ajo, et al., 1983"
 4312-01-0, , C,8.4,PE,"1,3,2-Dithiastannacyclopentane, 2,2-diphenyl-","Andoni, Cauletti, et al., 1983"
 57864-56-9,LBLHLM, C,8.4,PE,"1,3-Dithia-2-silacyclopentane, 2,2-diphenyl-","Andoni, Cauletti, et al., 1983"
 103-19-5, , C,7.5,PE,"Disulfide, bis(4-methylphenyl)","Giordon and Bock, 1982"
 62853-03-6, , C,6.9,PE,"Tungsten, tetracarbonylbis(¦Ç","Morris-Sherwood, Powell, et al., 1984"
 67225-86-9,, C,6.76 ¡À 0.04,EI,"Iron,bis[¦Ì-(carbonothioyl)]dicarbonylbis(¦Ç","Efraty, Liebman, et al., 1978"
 134-81-6,LBLHLM, C,8.68 ¡À 0.05,PI,"Ethanedione, diphenyl-","Polevoi, Matyuk, et al., 1987"
 32757-46-3,Vertical value, C,6.95,PE,"Iron, di-¦Ì-carbonyldicarbonylbis(¦Ç5-2,4-cyclopentadien-1-yl)di-, (Fe-Fe), trans-","Granozzi, Tondello, et al., 1980"
 12154-95-9,, C,6.82 ¡À 0.02,EI,"Iron, di-¦Ì-carbonyldicarbonylbis(¦Ç5-2,4-cyclopentadien-1-yl)di-, (Fe-Fe)","Efraty, Huang, et al., 1977"
 67113-80-8,, C,6.46 ¡À 0.02,EI,"Iron,¦Ì-carbonothioyl-¦Ì-carbonyldicarbonylbis(¦Ç","Efraty, Liebman, et al., 1978"
 42896-18-4,LLK, C,7.60 ¡À 0.02,PE,"Benzo[b]benzo[3,4]cyclobuta[1,2-e][1,4]dioxin, 4b,10a-dihydro-","Bouchoux and Dagaut, 1981"
 5770-58-1,LLK, C,7.28 ¡À 0.02,PE,"1,4-Benzodioxin, 2-phenyl-","Bouchoux and Dagaut, 1981"
 4504-87-4,, C,9.63,EI,"Dibenz[b,e]oxepin-11(6H)-one","Sahini, Constantin, et al., 1978"
 35897-82-6,Vertical value, C,8.14 ¡À 0.04,PE,"1H-Phenalen-1-one,9-methoxy-","Carnovale, Gan, et al., 1979"
 3155-16-6,, C,7.94,CTS,Diphenyl oxalate,"Slifkin and Allison, 1967"
 585-08-0,Vertical value, C,8.19,PE,"Phenanthrene, 9,10-dihydro-9,10-epoxy-","Akiyama, Li, et al., 1979"
 525-06-4,LLK, C,7.85,EI,"Ethenone, 2,2-diphenyl-","Compernolle and DeSchryver, 1975"
 613-14-9,, C,7.73,EI,¦Â-Hydroxyanthracene,"Gillis, Long, et al., 1968"
